tweets,labels
امروز با پراید رفتیم دم یه بوم گردی نزدیک سبزه میدون اصفهان و بنا بود ۳۳ میلیارد قرارداد ببندیم برای خریدش، متاسفانه لغو شد.,1
جمع بندی حسابان و هندسه کنکور 🤣🤣,0
ویزا گرفتن مصر برای ایرانی‌ها آزاد شد؟ چه‌قدر عالی و خوب. یک کشور دیگه به لیست کشورهایی که پول ندارم برم اضافه شد.,0
میخواید لاغر شدید فقط باید غصه بخورید. غصه و درد زیاد. همه رژیما کشکه,1
خطابی از طرف من و تمام کسانی که رند ۹ هستند، به بقیه دانشجویان عزیز: بشقابشم براتون نمیذاریم.,0
میشه منم از استخر بیام بیرون وسطش ؟ =),0
باورتون می‌شه که یه سخنران کسشری توی صحن انقلاب گفت: «ما شیعیان دوازده امام نداریم، سیزدهمین امام ما حضرت روحِ خدا خمینی‌ست»؟ باورتون شه چون گفت. کاش این افراطی‌های جمهوری اسلامی یه حرم امام رضا رو برای ما به گند نکشن.,2
Persians🤓🤣🤣🤣🤣حتما این سریال رو ببینید,0
موافقانِ فصلی کردن حجاب یه یاعلی بگن این پویش رو راه بندازیم.,0
ببخشید که بنده هم محجبه‌ام و هم دربرابر ظلم و این حکومت ایستادم. تفهیم تفاوت بین دو مسئله‌ی واضحی که ربطشون به هم‌دیگه صفر از دهه، دیگه به من و امثال من مربوط نیست.,1
داش داری آلبوم میدی یا داری ریاضی تدریس میکنی؟🤣 ,0
خمینی ای امام، پولم شده تمام.,3
اگه انرژی گرفتین، برید hello world تون رو پرینت کنین دو چندان بشه انرژی‌تون🤣😉,0
امشب به قطعیت رسیدم که تا الان زندگی نکردم بلکه زندگی منو …,1
بچه ها برادر یکی از دوستای من رو ۵۷ روزه گرفتن و هیچ جا ازش حرفی زده نشده. لطفا کمک کنید صداش باشیم تا ازادش کنن.  #محمدپارسا_قاسمی_راد #مهسا_امینی,1
این بود زندگی؟ اره همین بود,3
دوش اب داغ. گواشا و روتین پوستی شبانه.🧘🏻‍♀️,3
واقعا فوق العاده ترین چیزی بود که امروز دیدم.,0
چقدر همه چی خوبه.,0
اون زیتونی که خدا تو قرآن ازش نام برده، احتمالا همینه.,3
من امروز به این نتیجه رسیدم که عاشق شدم.,4
ویکند وایب منفی ۳۰ که فقط باید موند خونه :)),0
چون از قبل مادربزرگم اینا اومده بودن امادگیشو داشتم :)) ولی گذاشته بودم کنار چون خودم استفاده نمیکردم.,0
خدا هر ۵ آیه یکبار تو قرآن: حالا بندگی من رو نکن، من ضرر میکنم یا تو,1
ازمایشو که اصلا نفهمیدیم، دستگاه هم خراب بود درست داده نمیداد بعد باید یازده صفحه گزارش بنویسیم.,1
پس از تحمل آن همه درد، کسی که به مقصد می‌رسد دیگر همانی نیست که به راه افتاده بود.,1
اگر قراره گریه های زلاتان انقدر غم انگیز باشه برامون، گریه های این دوتا موقع خداحافظی می خواد چیکار کنه؟,1
اگر میلان امسال بره فینال به قید قرعه به دو نفری که لایک کنن شیرینی میدم.,0
اومدم سفر. منتظر باشید سرویس کنم با عکس🤣 ,0
به فاصله ۵ دقیقه:,3
وقتی می‌فهمم که تی‌ایِ کسی شدم که ترم قبل تی‌ایِ خودم بود=)))),0
مثلثی که از نیمار-مسی-امباپه هم خطرناک‌تره :))))) ,0
منو از اسپویل می‌ترسونین؟ من قبل از اینکه فیلم و سریالی رو شروع کنم میرم اول تو اینترنت داستان کامل و نقداشو می‌خونم بعد میرم سرش تباها.,2
یه زمانی همه این کارت ها زندگیمون بود می آوردیمش تو بازی یا دو برابر میشد یا همشو از دست میدادیم. واقعا دلم براشون تنگ شده 😭😭😭😭,1
این کاربر گواهینامه شو گرفت😍,0
حتما باید میگفت شریفیه. اگر نمیگفت نمیشد🤣🤣🤣,0
نتیجه‌ی اون بگایی شد این‌ها: ۲۳ بهمن ماهِ ۰۱.,2
یکی از دلایل علاقه من به این فصل👀 ,0
ما که اینجا موندنی شدیم. هر کی که اونوره، به جای ما هم زندگی کنه.,1
خانواده‌های ایرانی اینطورین که تو توی یکی از بهترین دانشگاه‌های دولتی مملکت درس خوندی، از لحاظ مالی خرج‌ت رو ازشون جدا کردی و مستقلی، همچنان داری برای جایگاه تحصیلیت توی زندگیت تلاش می‌کنی، روی مهارت‌هات وقت می‌ذاری و براشون کلاس می‌ری؛ ولی تا شوهر نکنی انگار هیچ گهی نخوردی.,2
در ستایش گفت‌وگو فقط ایشون و تیمشون.,4
واقعا دیگه چرا میان تیک تاک خدایی این بسیجیا؟؟ هی میان اخوند اخوند میکنن برای ما؟,2
کاش تمامی بابونه‌های دنیا متعلق به من بودند.,4
هرنفسی که در تهران فرو می‌رود، به لطف مسئولین، مخل حیات است.,1
شنیده میشیم.  #مهسا_امینی 🖤 ,1
خودِ ما بود.,3
حاصل خوش گذرونی امروز✨ (قبل ادیتی که برای اینستا میخوام بکنم🤣),0
اینم از نتیجه🎉,0
دیگه گفتید بدون فیلتر اینستا قشنگترم پررو شدم خوشم اومده هرروز دیگه عکس بدون فیلتر میذارم🤣,0
بعد ۱ سالو هفت ماه دیدمشون♥️🥺🥺🥺♥️ امیدوارم هرکدوم از خانواده دورید زودتر جمع شید♥️,4
به ته هرچی میرسیم هست یه دری قفل,3
توروخدا اگر هنوز با اکستون در ارتباطید(یا بدتر اگر زندگی میکنید باهم) یا هنوز درگیرشید به هرطریقی، دیت جدید نرید خواهشا. یا اگر میرید با افتخار حرفشو نزنید یا اصلا بزنید به من چه:)) من صرفا دلم میسوزه واسه کسی که اینجا قربانی احساسات نصف نیمه شماست.,1
هرخانواده‌ی ایرانی یک جمهوری اسلامی کوچک و مینیمال.,1
ولی این رسمش نبود! پارسال روبرو حرم ازت قول گرفتم سال بعد هم بیام...,1
ولی سالی که نکوست، از برفش پیداست.,0
رزق امشب و ان‌شاءالله که رزق سال‌های آینده.,4
۲۴ سالگی✨,0
وضعیت الان اینطوریه که یه تومن پولی نیست ولی همونم نمیشه درآورد =))))),0
در ستایش گفت و گو …,4
"متوجه حضور در راهپیمایی نمی‌شم. به این نظام نقد دارید ولی پاش می‌مونید؟ بمیرید بابا. حقوق اولیه‌مون ازمون سلب شده، رسماً برده‌ و دلقک این نظام‌اید برای وقت‌هایی که از توی سطل آشغال درتون بیارن و بگن ""ملت ما همه شهیدپرور و انقلابین"" و دوباره بندازنتون اون‌جا. کودن‌های ظاهرپرست.",2
این دیالوگیه که همه جا جوابه.,3
دلم میخواد به همه آدما بگم برو بمیر.,2
این مانده حساب اگر تومن هم بود باز نمیشد باهاش کاری کرد.,3
دیگه به خانه برنمی‌گردی پس؟,1
نتیجه بازی بارسا و بایرن: الان یا الان؟,3
عکس دوست دخترت رو می‌ذاری اینجا میگی من دیگه نمت؟ خب یهو دیدی یکی اینجا پیدا شد که اون دوست‌دخترت رو مت. حالا می‌خوای چه غلطی بکنی؟,2
اردیبهشت,3
نیمه‌شبِ شانزدهمِ خردادِ صفر دو.,3
این باشگاه داره کم کم بهم آنورکسیا می‌ده.,3
وقتی با وجود این همه کار و بدبختی، باز دوباره میرم سراغ فیلم و سریال و کتاب:,1
واقعا چرا پول میدین کرم آبرسان می‌گیرین؟ خب پوستتونو بگیرین زیر شیر آب، آبرسانی میشه خودش دیگه 🤣🤣🤣,0
چرا اونهایی که آتئیستن معمولا دینی رو ۱۰۰ میزدن؟:)))),0
زنگ بزنی ۱۲۵🤣🤣🤣,0
چقدر حس بدیه یهو میفهمی یکی مدتها روت کراش داشته هیچی نگفته. لامصب 😂 چرا نگفتی😂,4
کاش میشد همینجوری میرفتیم دانشگاه تو کارشناسی:),4
خداروشکر یه دغدغه‌ام برطرف شد.,0
وسوسه‌ی دی‌اکتیو کردن اینستاگرام از همیشه دل‌انگیز‌تر به نظر می‌آید,0
داداش جون هر کی دوست داری بی‌خیال شو. واقعا هیچ‌کس الان کمترین اهمیتی به تو و اون فوتسال مزخرف و دانشکده‌های شرکت‌کننده توش نمیده,2
یه ویدئو از زایمان طبیعی و یه ویدئو از سزارین دیدم و باید به همسرِ عزیزم بگم که از الآن شروع کن به نذر و نیاز و از لک‌لک‌ها بچه‌هات رو بخواه. این قضیه به من هیچ ربطی نداره.,3
دوست دارم به بچه هام بگم ایران آزاد از وقتی شروع شد که سر #مهسا_امینی سکوت نکردیم.,1
فکر کنم ادم این دوران نیستم، حداقل باید هزار سال پیش بدنیا می اومدم.,1
منچستر امشب چندتا خورد؟ ,3
از اینجا نمی‌تونستم بخونمتون. چون نه اینترنت داشتم نه آنتن:)))) ,0
اینم از فکت پشم‌ریزون امشب,4
چشمممممم ,3
بنده هم در قسمت چپ بدنم آخوندها و در قسمت راست بدنم خانواده‌ی سنتی مذهبی قرار داره.,3
من الان خیلی خوشحالم.,0
دوست داشتم در جهانی خالی از هرگونه شرارت و ظلم زندگی کنم؛ اما متاسفانه تمام دنیاهایی که می‌توانم انتخاب کنم، پر از انسان هستند.,1
اسرائیل ۲۵ سال آینده را نخواهد دید. بنیامین نتانیاهو,3
اگه استادا جدی ریکام نمیدن، دیگه اینجا راحت با اسم بهشون فحش بدیم.,2
دایرکت در ۲ حرکت، نوبت دخترا,3
عجب روز خوبی بود امروز. راضیم واقعا,0
امروز با زیدم رفتم بیرون ❤️💃,4
"صدف بعد باشگاه بهم یه کوکی داد، گفتم ""می‌شه گازش بزنم طعمشو بخورم بعد تُفِش کنم؟""",3
کیری عوضی,2
وقتی از یه روح در دو بدن صحبت میکنیم، از چی حرف می‌زنیم😂😂,0
وقتی خانوادمو دیدم فهمیدم من قلبم از رابطه اونقدرها هم نشکسته بود. دلم واسه خانوادم تنگ شده بود.,1
